Micro-cycles


mcXX – Nom : Focus/thème | Objectif | Méthode d’entainement | Format(série, rep, respi, récup) |  Mouvements-clés | Progression | Intensité
mcC20 – HIIT modéré intermédiaire : pic cardio contrôlé | fractionné modéré | HIIT 30/30 | 4 blocs × 4 exos, récup active 1 min | burpee, rope, air squat, dips | +1 bloc ou +vitesse effort | intensité modérée
mcC21 – HIIT explosif confirmé : intensité max | efforts très courts et puissants | Tabata 20/10 | 4–5 blocs, récup partielle 1 min | sprint, jump squat, airbike, burpees | +1 round ou -5'' repos | intensité très élevée
mcC22 – HIIT mixé intermédiaire : cardio + muscu alternés | effort cardio-mix sous contrainte | HIIT muscu/cardio combiné | 4 exos (2 cardio, 2 muscu) × 4 tours, récup 30 sec | rope, push-up, thruster, MC | +1 tour ou +charge modérée | intensité modérée
mcC23 – HIIT mixé confirmé : explosivité & charge | cardio intense + charges polyarticulaires | HIIT muscu/cardio haute intensité | 6 exos × 4 tours, récup 20–30'' | kettlebell swing, burpees, jump squat, push-up | +1 exo ou -5'' récup | intensité très élevée
mcC24 – HIIT fonctionnel débutant : initiation au HIIT | effort fractionné simple | HIIT basique 30/30 | 4 exos × 3–4 tours, récup passive 1 min | air squat, step tap, push-up genoux, shadow boxing | +1 tour ou +1 rep/exo | intensité faible
mcC25 – HIIT fonctionnel intermédiaire : cardio fonctionnel | vitesse d’exécution + légères charges | HIIT poids de corps / charges légères | 6 exos × 30 sec / récup 15 sec | jumping jack, fente, dumbbell swing, dips | +1 exo ou +vitesse | intensité modérée
mcC26 – HIIT fonctionnel confirmé : puissance et fréquence | effort maximal répété | HIIT chaîne complète 20/10 | 4 circuits × 5 exos, récup 30 sec entre circuits | thruster, burpees, squat jump, plank jacks, MC | +1 circuit ou -5'' récup | intensité élevée
mcC27 – HIIT cardio-mix intermédiaire : machines + poids du corps | alternance effort global et ciblé | HIIT 45/15 | 5 exos × 5 tours, récup 1 min | vélo, rameur, burpees, air squat, dips | +1 tour ou -5'' récup | intensité modérée à élevée
mcC28 – Cardio + charges intermédiaire : cardio dynamique + résistance | enchaînement efforts explosifs et stabilisés | circuit cardio/muscu alterné | 4 exos/bloc × 3 blocs, effort 40 sec / récup 20 sec | jump squat, kettlebell swing, push-up, lunge | +1 bloc ou +charge | intensité modérée
mcC29 – Cardio + charges confirmé : cardio sous tension | charge moyenne + effort prolongé | split kettlebell / cardio | 5 exos × 4 blocs, récup 15 sec | swings, burpees, thruster, push-up, rope | +1 exo ou +poids | intensité élevée
mcC30 – Full-body dynamiques intermédiaire : chaînes globales actives | engagement complet en mouvement | circuit full-body fluide | 5 exos dynamiques × 4 tours, récup 30 sec | squat jump, climbers, dips, swing, jumping jack | +1 tour ou +vitesse | intensité modérée
mcC31 – Haut/Bas rapide intermédiaire : alternance verticale | intensité globale et alternance segments | format paires haut/bas | 4 paires d’exos × 3 circuits, effort 30 sec/exo | push-up, air squat, dips, fente sautée | +1 circuit ou -5'' récup | intensité modérée
mcC32 – Pyramide d’intensité confirmé : charge progressive puis décroissante | tolérance à l’effort long sous volume croissant | méthode pyramidale | 4 exos × 5 séries (10–12–15–12–10 reps), récup 30–45'' | thruster, lunge, push-up, MC | +1 rep/série ou -5'' récup | intensité élevée
mcC33 – Circuit Tabata simplifié débutant : HIIT basique | stimuler le cardio sans surcharge | Tabata allégé 20/15 | 4 exos × 3 rounds | jumping jack, air squat, push-up muraux, planche | +1 round ou +1 rep/exo | intensité modérée
mcC34 – Circuit Tabata simplifié intermédiaire : HIIT complet | améliorer puissance cardio-vasculaire | Tabata classique 20/10 | 4 exos × 4 rounds | air squat, push-up, mountain climber, jumping jack | +1 round ou +1 exo | intensité élevée
mcC35 – Circuit Tabata simplifié confirmé : HIIT soutenu | tolérance effort répété | Tabata haute densité | 4 exos × 5 rounds (20/10), récup 30'' entre rounds | squat jump, burpee, MC rapide, gainage dynamique | +1 round ou +1 exo | intensité très élevée
mcC36 – Cardio pyramidal débutant : endurance douce | variation d’intensité guidée | pyramide légère | 3 exos × 2 cycles (15–30–15 sec), récup 30 sec | marche rapide, fente statique, shadow boxing | +1 cycle ou +1 exo | intensité modérée
mcC37 – Cardio pyramidal intermédiaire : cardio progressif | récupération active améliorée | pyramide progressive | 3 exos × 3 cycles (15–30–45 sec), récup 30 sec | air squat, jumping jack, push-up | +1 cycle ou -5'' récup | intensité élevée
mcC38 – Cardio pyramidal confirmé : tolérance à l’effort | allures variées sous fatigue | pyramide haute intensité | 3 exos × 4 cycles (15–30–45 sec), récup 20 sec | squat jump, burpee, push-up sautés | +1 cycle ou +1 rep/exo | intensité très élevée
mcC39 – EMOM combiné intermédiaire : force + cardio | maintien performance sous contrainte | EMOM 12’ | 5 burpees, 6 goblet squats, 8 KB swings (12 kg) | +1 rep/exo toutes 2 séances | intensité élevée
mcC40 – EMOM combiné confirmé : endurance puissante | volume sous fatigue croissante | EMOM croissant 15’ | 6 burpees, 8 squats goblet, 10 swings KB (15 kg) | +1 rep ou -5’’ récup à 15’ | intensité très élevée
mcC41 – Fartlek fonctionnel débutant : cardio actif | variation douce de rythme | fartlek guidé | 4 exos × 5 cycles 30/30, récup 1 min | marche rapide, fente, MC lent, shadow boxing | +1 cycle ou +5'' effort | intensité modérée
mcC42 – Fartlek fonctionnel intermédiaire : cardio varié | stimulation des filières énergétiques | fartlek classique | 5 exos × 6 cycles 40/20 | jumping jack, push-up, fente sautée, MC, squats | +1 cycle ou +1 exo | intensité élevée
mcC43 – Fartlek fonctionnel confirmé : cardio sous contrainte | cadence rapide + récup partielle | fartlek intensif | 6 exos × 6 cycles 40/20 | burpee, squat jump, push-up sautés, skater, MC, gainage dynamique | +1 cycle ou -5'' récup | intensité très élevée
mcC44 – Complexe barre débutant : coordination technique | travail enchaîné sous contrôle | complexe 3 mouvements | 3 exos × 3 rounds | front squat, push press, deadlift léger | +1 rep/exo ou +1 round | intensité modérée
mcC45 – Complexe barre intermédiaire : force métabolique | résistance sous charge modérée | complexe 4 mouvements | 4 exos × 3 rounds | power clean, front squat, push press, deadlift | +1 exo ou +1 rep/exo | intensité élevée
mcC46 – Complexe barre confirmé : densité maximale | puissance + cardio soutenus | complexe 5 mouvements | 5 exos × 4 rounds | clean, front squat, push press, row, deadlift | +charge ou +1 round | intensité très élevée
mcC47 – Circuit kettlebell long cycle débutant : endurance technique | travail en charge continue | long cycle fractionné | 2 exos × 4 cycles (1’ effort / 30’’ repos) | clean & press léger, front squat KB | +1 cycle ou +10’’ effort | intensité modérée
mcC48 – Circuit kettlebell long cycle intermédiaire : endurance de force | résistance musculaire + souffle | long cycle complet | 2 exos × 5 cycles (90’’ effort / 30’’ repos) | KB swing, clean & jerk | +1 cycle ou -5’’ récup | intensité élevée
mcC49 – Circuit kettlebell long cycle confirmé : tolérance effort long | maintien effort sous contrainte | long cycle non-stop | 10 min en continu | clean & press, jerk, front squat, swing | +30’’/semaine ou +1 kg | intensité très élevée
mcC50 – Sprint côte débutant : puissance légère | découverte sprint en montée | sprints fractionnés en côte | 5 × 20’’ effort / 40’’ repos | montée modérée | +1 sprint ou -5’’ repos | intensité élevée
mcC51 – Sprint côte intermédiaire : puissance explosive | sprint anaérobie | hill sprints fractionnés | 8 × 30’’ effort / 30’’ repos | pente soutenue | +1 rep ou +5 m montée | intensité très élevée
mcC52 – Sprint côte confirmé : tolérance lactique | effort max répété | sprint lactique en côte | 10 × 30’’ effort / 30’’ repos | pente raide | +1 sprint ou +intensité pente | intensité extrême
mcC53 – Circuit Tabata simplifié débutant : métabolisme rapide | effort court + relance cardio | tabata basique | 4 exos × 3 tours (20’’/10’’) | air squat, push-up genoux, climbers, jumping jack | +1 rep/exo ou +5’’ effort | intensité élevée
mcC54 – Circuit Tabata simplifié intermédiaire : métabolisme soutenu | maintenir le rythme sous effort fractionné | tabata complet | 4 exos × 4 tours (20’’/10’’) | pompes, squats, MC, jumping jack | +1 tour | intensité élevée
mcC55 – Circuit Tabata simplifié confirmé : haute intensité cardio | effort répété avec volume | tabata renforcé | 4 exos × 5–6 tours (20’’/10’’) | burpees, jump squats, push-up sautés, MC rapide | +1 tour ou -5’’ repos | intensité très élevée
mcC56 – Cardio pyramidal multi-exos débutant : endurance douce | variation d’intensité légère | pyramide simple | 3 exos × 2 cycles (15’’–30’’–15’’), récup 30 sec | marche rapide, air squat, fente statique | +1 cycle ou +1 exo | intensité modérée
mcC57 – Cardio pyramidal multi-exos intermédiaire : métabolisme progressif | effort prolongé à intensité variable | pyramide classique | 3 exos × 4 cycles (15’’–30’’–45’’), récup 30 sec | push-up, squat jump, fente sautée | +1 cycle ou -5’’ repos | intensité élevée
mcC58 – Cardio pyramidal multi-exos confirmé : résistance cardio | maintien rythme sous charge | pyramide complexe | 4 exos × 5 cycles (15’’–30’’–45’’), récup 20 sec | burpees, push-up sautés, squat jump, jumping lunges | +1 cycle | intensité très élevée
mcC59 – EMOM combiné kettlebell intermédiaire : force + cardio | charge modérée en rythme | EMOM structuré 12’ | 5 burpees, 8 goblet squats, 12 swings | +1 rep/exo toutes 2 séances | intensité élevée
mcC60 – EMOM combiné kettlebell confirmé : puissance sous fatigue | maintenir cadence sous contrainte | EMOM progressif 15’ | 6 burpees, 10 goblet squats, 14 swings | +1 rep ou +5’’ volume | intensité très élevée
mcC61 – Fartlek fonctionnel débutant : cardio dynamique | variation de rythme simple | fartlek guidé | 4 exos × 5 cycles (30’’/30’’) | shadow boxing, air squat, MC lent, fente statique | +1 cycle ou +5’’ effort | intensité modérée
mcC62 – Fartlek fonctionnel intermédiaire : cardio structuré | alternance rapide/récup | fartlek classique | 5 exos × 6 cycles (40’’/20’’) | jumping jack, push-up, squat jump, fente sautée, MC | +1 cycle ou -5’’ repos | intensité élevée
mcC63 – Fartlek fonctionnel confirmé : cardio sous contrainte | maintien intensité sans récup longue | fartlek complexe | 6 exos × 6 cycles (40’’/20’’) | burpees, squat jump, skater, MC, push-up sautés, gainage actif | +1 cycle ou -5’’ repos | intensité très élevée
mcC64 – Kettlebell long cycle intermédiaire : endurance de force | effort stable sous charge modérée | long cycle technique continu | 10’ continu | clean & press, swings, front squat | +30’’/semaine ou +1 rep/min | intensité moyenne
mcC65 – Kettlebell long cycle confirmé : résistance prolongée | charge + durée en maintien | long cycle avancé | 12–15’ non-stop | clean & press, snatch, jerk | +1’/sem ou +charge progressive | intensité élevée
mcC66 – Hill sprints fractionnés confirmé : puissance anaérobie | sprint lactique en montée | sprint fractionné | 30’’ montée / 30’’ repos × 10 | côte (5–10%), intensité max | +1 sprint ou -5’’ récup | intensité très élevée


🟩 D. Mobilité & posture


mcD01 – Mobilité active débutant : articulation fluide | restaurer l’amplitude naturelle | routine articulaire simple | 3 blocs de 3 exos (balancements, rotations), 15’’/exercice | balancements genoux, cercles épaules/chevilles | +1 exo/bloc | intensité très faible
mcD02 – Mobilité active intermédiaire : ouverture articulaire | améliorer l’aisance dans les mouvements | flow articulaire dynamique | 3 blocs 4 exos, 20’’/exercice | squats ouverts, cat/cow, fente + reach, shoulder circle | + fluidité | intensité faible
mcD03 – Mobilité active confirmé : amplitude contrôlée | renforcer les extrémités dans la mobilité | routine mixte debout/sol | 4 circuits progressifs, 30’’/exercice | transitions deep squat, reach thoracique, fentes | + complexité motrice | intensité modérée
mcD04 – Étirements dynamiques débutant : allongement contrôlé | préparer le corps à l’effort | routine d’activation articulaire | 10 min debout, 5–6 exos x 30’’ | leg swings, cercles bras, fentes dynamiques | + précision | intensité très faible
mcD05 – Étirements dynamiques intermédiaire : élasticité musculaire | échauffement qualitatif | séquence rythmée en bloc | 3 blocs de 3–4 exos, 2×30’’/exercice | kicks dynamiques, rotations épaules, openers hanches | + vitesse d’exécution | intensité faible
mcD06 – Étirements dynamiques confirmé : coordination mobilité | fluidité globale + gainage | locomotion fluide et variée | 4 flows de 5 min | crab walk, locomotion animale, fentes croisées | + contrôle et transitions complexes | intensité modérée
mcD07 – Souplesse & relâchement tous niveaux : relâchement profond | détendre les chaînes musculaires | stretching passif guidé | 20–30 min en continu | chaîne postérieure, hanches, épaules | + respiration guidée | intensité très faible
mcD08 – Souplesse & relâchement intermédiaire : amplitude + détente | améliorer souplesse sans tension | étirements tenus actifs | 4 exos x 45–60 sec | posture papillon, hamstrings, pectoraux | + durée par étirement | intensité faible
mcD09 – Souplesse & relâchement confirmé : souplesse avancée | progression vers grands écarts | stretching intensif | 5 exos x 60–90 sec | fente profonde, ouverture adducteurs, splits assistés | + temps de maintien | intensité modérée
mcD10 – Posture & alignement débutant : prise de conscience posturale | corriger les déséquilibres basiques | routine auto-corrective simple | 3 circuits statiques, 30’’/exercice | wall sit, dead bug, alignement mur | + maintien par exercice | intensité très faible
mcD11 – Posture & alignement intermédiaire : tonus postural | rééquilibrer les chaînes musculaires | routine maintien + mobilité lente | 4 exos x 3 séries (30’’) | bird dog, gainage dynamique, tirage bande | + complexité ou temps de travail | intensité faible
mcD12 – Posture & alignement confirmé : tenue active | renforcer les muscles posturaux profonds | circuit postural dynamique | 4 blocs 3–4 exos, 30’’–45’’/exercice | reach, good morning, overhead mobility | + temps de tension | intensité modérée
mcD13 – Coordination & équilibre débutant : conscience motrice | activer les réflexes d’équilibre | mini-circuits statiques/dynamiques | 3 circuits 2 exos (30’’/exercice) | bras/jambes opposés, unipodal simple | + durée maintien | intensité très faible
mcD14 – Coordination & équilibre intermédiaire : stabilité dynamique | améliorer coordination inter-membres | parcours rythmés | 4 exos enchaînés, 2 tours, 30’’/exercice | échelle de rythme, step latéral, équilibre 1 jambe | + variation des appuis | intensité faible
mcD15 – Stabilité articulaire intermédiaire : articulation protégée | renforcer autour des articulations mobiles | routine stabilisation lente | 3 blocs 4 exos, tempo 2-2-2 | band shoulder, deadbug unilatéral, fente latérale lente | + charge légère ou répétitions | intensité modérée
mcD16 – Dissociation articulaire intermédiaire : contrôle segmentaire | différencier les mouvements articulaires | routine au sol lente | 4 exos x 2–3 séries | cat/cow, rotation cage thoracique, deadbug, cercles hanches | + fluidité ou reps | intensité faible
mcD17 – Dissociation articulaire confirmé : isolation précise | isoler les amplitudes dans les zones complexes | séquence technique lente | 4 exos x 45’’ | roll down, planche + reach, disassociation overhead | + précision dans la gestuelle | intensité modérée
mcD18 – Équilibre statique/dynamique débutant : stabilité de base | garder un appui solide sans mouvement | travail unipodal simple | 3 exos, 30–40 sec/tenue | équilibre 1 jambe bras tendus, wall sit, gainage bras levés | + temps de maintien | intensité très faible
mcD19 – Équilibre statique/dynamique intermédiaire : équilibre fluide | alterner mouvements et stabilisation | séquence mixte lente | 3 circuits 3 exos, 2–3 tours | pivots unilatéraux, reach, planche dynamique | + transitions instables | intensité faible
mcD20 – Équilibre statique/dynamique confirmé : réactivité + stabilité | maintien sous contrainte variable | circuit instabilité | 4 blocs de 3 exos, 30–40 sec | BOSU, lunge rotation, équilibre + reach | + difficulté posturale | intensité modérée
mcD21 – Amplitude + stabilité débutant : activation douce | réactiver l’amplitude avec sécurité | routine guidée lente | 2 blocs de 3 exos x 2 séries, 30’’/exercice | ouverture hanches, demi-fente assistée, bird dog | + durée ou précision | intensité faible
mcD22 – Amplitude + stabilité intermédiaire : amplitude maîtrisée | élargir les ROM avec contrôle | mini-flow dynamique | 3 blocs spécifiques, 30’’–40’’/exercice | overhead mobility, pont hanche, fente croisée | + complexité gestuelle | intensité modérée
mcD23 – Amplitude + stabilité confirmé : grande amplitude dynamique | stabilité dans mouvements extrêmes | flow complexe contrôlé | 4 phases : debout / sol / équilibre / maintien | deep squat, splits assistés, gainage instable | + transitions avancées | intensité modérée à élevée
mcD24 – Flow mobilité au sol débutant : souplesse active | réveiller les amplitudes articulaires | flow lent en appuis multiples | 3 séquences de 2’30’’ avec transitions douces | cat/cow, ouverture hanches, reach bras/jambes | + durée ou fluidité | intensité faible
mcD25 – Flow mobilité au sol intermédiaire : souplesse active | déverrouiller chaînes profondes | enchaînement fluide au sol | 8–10 min de flow structuré | reptile, thread the needle, rotations bassin | + amplitude ou variété | intensité faible
mcD26 – Flow mobilité au sol confirmé : souplesse active | déployer mobilité avec contrôle | flow complet avec respiration guidée | 12 min en continu | deep lunge, rotation colonne, ouverture cage thoracique | + tenue posturale ou respiration | intensité faible à modérée
mcD27 – Routine mobilité matinale débutant : éveil articulaire | mobilisation douce au réveil | mini-flow articulé | 3 séquences de 3’30’’ | cercles articulaires, marches hautes, fentes assistées | + répétition ou coordination | intensité faible
mcD28 – Routine mobilité matinale intermédiaire : éveil articulaire | réveiller le corps en dynamique | routine complète debout/sol | flow continu 12 min | good morning, fente croisée, twist thoracique | + 1 séquence ou complexité | intensité faible
mcD29 – Routine mobilité matinale confirmé : éveil articulaire | activer posture et respiration | routine complète fluide | séquence complète 15’ | diaphragmatique breathing, squats lents, reach debout-sol | + durée ou concentration respiratoire | intensité faible à modérée
mcD30 – Mobility + stability combo intermédiaire : mobilité + renforcement | amplitude fonctionnelle + stabilité | travail unilatéral sous charge légère | 3×5 reps/côté | overhead lunge, ouverture thoracique, presse unilatérale | + charge ou amplitude | intensité basse à moyenne
mcD31 – Mobility + stability combo confirmé : mobilité + renforcement | stabilisation dans schémas complexes | enchaînement postural dynamique | 4×6 reps/côté | fente instable, gainage unilatéral, presse debout rotationnelle | + amplitude + stabilité active | intensité moyenne
mcD32 – Routine mobilité plyo-contrôlée intermédiaire : mobilité dynamique | coordination avec appuis toniques | flow combiné sauts + contrôle | routine continue 10’ | squats dynamiques, pas bondissants, ouverture hanches | + répétitions ou intensité d’appui | intensité moyenne
mcD33 – Routine mobilité plyo-contrôlée confirmé : mobilité dynamique | réactivité + amplitude sous transitions | circuits plyo-contrôlés | 3 circuits de 4’ | step jumps, fentes croisées, coordination rapide sol/debout | + complexité ou tempo | intensité moyenne à élevée
mcD34 – Mobilité sous charge légère débutant : mobilité guidée | amplitude assistée sous faible charge | flow debout + au sol | 2×6×30’’ | goblet squat léger, windmill assisté, press + open | + 1 mouvement ou durée | intensité faible
mcD35 – Mobilité sous charge légère intermédiaire : mobilité sous contrainte | stabilisation active | routine Kettlebell guidée | 3×8×30’’ | halo, KB swing lent, overhead reach | + 1 séquence ou +5’’ | intensité faible à moyenne
mcD36 – Amplitude guidée kettlebell intermédiaire : mobilité sous tension | ouvrir amplitude avec contrôle | bloc lent avec pauses | 3×8 reps avec tempo 3–1–2 | goblet squat lent, windmill, overhead lunge | + 1 rep ou + pause | intensité faible
mcD37 – Amplitude guidée kettlebell confirmé : mobilité sous tension | solidifier gain postural | enchaînement fonctionnel | 3×10 reps | turkish get up, overhead walk, deep hinge | + temps sous tension ou stabilité | intensité moyenne
mcD38 – Contrôle scapulo-thoracique lesté intermédiaire : coordination scapulaire | activer ceintures + appuis | routine rythmée | 3 tours 4×30’’/20’’ | row inversé, quadrupédie/debout, scapular push | + 1 exo ou + reps | intensité faible
mcD39 – Contrôle scapulo-thoracique lesté confirmé : coordination scapulaire | stabiliser en dynamique complexe | enchaînement mixte | 4 tours de 5×30’’/20’’ | traction scalaire, bear crawl, overhead reach | + charge ou +10'' | intensité faible à moyenne
mcD40 – Coordination multi-plans instable intermédiaire : coordination/équilibre | renforcer l’équilibre en changement de plans | circuit instable multi-plans | 4×(60’’ + 30’’) | échelle agilité, BOSU step, fentes multidirectionnelles | + complexité ou +1 bloc | intensité faible à moyenne
mcD41 – Coordination multi-plans instable confirmé : coordination/équilibre | stabiliser les appuis sur surface instable | circuit BOSU intensif | 5×(60’’ + 30’’) | slalom BOSU, squats instables, marches croisées | + vitesse ou + instabilité | intensité moyenne
mcD42 – Transitions rapides contrôlées débutant : stabilité latérale | initier coordination dans changement d’appui | routine guidée | 3×(30’’ + 30’’) | pas chassés, anti-rotation statique, déplacement latéraux | +1 round ou + amplitude | intensité faible
mcD43 – Transitions rapides contrôlées intermédiaire : stabilité latérale | consolider l’explosivité maîtrisée | routine rapide structurée | 3×(30’’ + 30’’)×3 | pas chassés dynamiques, reach unilatéral, lunge rotation | +1 round ou complexité | intensité faible à moyenne
mcD44 – Enchaînements diagonaux (pattern X) débutant : coordination diagonale | découvrir chaînes croisées | séquence alternée | 3×6 reps/côté | reaching diagonal, croisés debout/sol, step croisé | +1 rep/côté | intensité faible
mcD45 – Enchaînements diagonaux (pattern X) intermédiaire : coordination diagonale | fluidifier traversée de plans croisés | circuit dynamique croisé | 4×8 reps/côté | lunges diagonaux, reach crawl, oblique opener | +2 reps/côté | intensité faible à moyenne
mcD46 – Contraste stabilité/vitesse intermédiaire : appuis réactifs | gérer cadence variable | routine double tempo | 4 blocs de 20’’+20’’ | squat impulsion + gainage, step rapide + statique | +1 bloc | intensité moyenne
mcD47 – Contraste stabilité/vitesse confirmé : appuis réactifs | enchaîner stabilité et explosivité | enchaînement rapide + isométrie | 5 blocs de 20’’+20’’ | squat jump + pause, mountain climber + statique | + cadence ou +5’’ | intensité moyenne à élevée
mcD48 – Circuit posture + mobilité active débutant : posture/mobilité | améliorer alignement global | flow fonctionnel lent | 12’ continu | step reach, squat control, reaching debout | +1 min ou + précision | intensité faible
mcD49 – Circuit posture + mobilité active intermédiaire : posture/mobilité | mobiliser avec fluidité et contrôle | routine enchaînée | 15’ en continu | flow postural, genoux/hanche, squat reach | + complexité | intensité faible à moyenne
mcD50 – Circuit posture + mobilité active confirmé : posture/mobilité | stabiliser en mouvement continu | flow postural complet | 18’ continu | crawl/posture debout, lunge rotation, deep hinge | +1 min ou difficulté | intensité moyenne
mcD51 – Contrôle genoux/chevilles débutant : équilibre unilatéral | initier stabilité des appuis | routine assistée | 3×8 reps/côté ou 2×20’’/jambe | appui pied nu, squat unilatéral assisté, genou aligné | + maintien ou + reps | intensité faible
mcD52 – Contrôle genoux/chevilles intermédiaire : équilibre unilatéral | renforcer appuis + proprioception | routine unilatérale | 3×12 reps/côté ou 3×30’’/jambe | step-up unilatéral, reach genou, maintien pied | + temps d’appui | intensité faible à moyenne
mcD53 – Contrôle genoux/chevilles confirmé : équilibre unilatéral | stabiliser en conditions variées | circuit instable | 4×15 reps/côté ou 3×45’’/jambe | squat instable, transitions dynamiques/statique | + instabilité ou + cadence | intensité moyenne
mcD54 – Routine entretien combinée (mobility + band) confirmé : mobilité + tonus | conserver amplitude + tonus léger | circuit mobilité avec résistance | 4 mini-circuits de 3’ | bandes élastiques, étirements actifs, reach contrôlé | + résistance ou +30’’ | intensité faible à moyenne


🟪 E. Systèmes énergétiques


mcE01 – Cardio zone 1–2 débutant : Aérobie fondamentale | Développer l’endurance de base | Cardio linéaire Z1-Z2 | 30–45 min continu / respiration nasale | Marche lente, vélo doux, rameur | +5 min par semaine | Faible
mcE02 – HIIT classique intermédiaire : Alternance effort/repos | Stimuler la VO2 max | HIIT 30:30 | 4–5 blocs × 30’’ effort / 30’’ repos | Burpees, sprints, squats sautés | +1 bloc ou +5% intensité | Modérée
mcE03 – HIIT mixte intermédiaire : Croisement filières | Puissance + récupération | Circuit mixte cardio/muscu | 6 circuits × 40’’ ON / 20’’ OFF | Charges légères, airbike, thruster | +1 circuit ou +1 exo | Modérée
mcE04 – HIIT avec charge confirmé : Résistance métabolique | Soutenir un effort sous charge | Circuit cardio/muscu | 4–6 rounds × 5 exos | Kettlebell swing, thruster, jump squat | +1 round ou +charge | Élevée
mcE05 – HIIT progressif intermédiaire : Tolérance effort | Intensité croissante par bloc | Intervalles croissants | 3 blocs 20–30–40 sec effort | Sauts, jumping jack, gainage actif | +5 sec/bloc ou +1 bloc | Modérée
mcE06 – HIIT progressif confirmé : Accumulation de charge | Maximiser combustion énergétique | Blocs croissants | 5 blocs durée progressive | Sprints, burpees, charges légères | +1 bloc ou +intensité | Élevée
mcE07 – HIIT ciblé par filière confirmé : Travail spécifique | Activer une filière énergétique ciblée | HIIT calibré (durée/repos) | 3 circuits × 3 exos spécifiques | Anaérobie alactique, lactique, aérobie | +1 tour ou +temps effort | Très élevée
mcE08 – Endurance aérobie longue débutant : Régularité cardiaque | Renforcer le fond cardio | Cardio linéaire bas | 30–45 min stable | Rameur, tapis, vélo, elliptique | +5 min par semaine | Faible
mcE09 – Endurance aérobie longue intermédiaire : Rendement énergétique | Améliorer l’économie d’effort | Cardio long stable | 45–60 min continu | Course, vélo, rameur | +5 min / semaine | Modérée
mcE10 – Seuil lactique intermédiaire : Résistance métabolique | Repousser la zone critique | Intervalles proches du max | 4 blocs × 4–6 min / récup passive | Course, rameur, vélo | +1 min ou +intensité | Élevée
mcE11 – Seuil lactique confirmé : Tolérance au lactate | Soutenir un effort long sous stress | Intervalles soutenus | 3 × 8–10 min @85–90% FCM | Longue récup active | +1 min par bloc | Très élevée
mcE12 – MetCon intermédiaire : Cardio + force | Augmenter le métabolisme rapide | Circuit AMRAP / For Time | 3 rounds × 5–6 exos | Enchaînement rapide cardio/muscu | +1 tour ou -repose | Élevée
mcE13 – MetCon confirmé : Puissance + souffle | Effort sous contrainte continue | Complexe EMOM | 4–5 rounds × 3–4 exos | Pull, push, run | +1 round ou +densité | Très élevée
mcE14 – Résistance mentale confirmé : Charge mentale | Travailler l’endurance psychologique | Long effort mixte | 30–40 min continu | WOD long, tâches complexes | +2 min ou +1 exo | Extrême
mcE15 – Cardio respiratoire continu débutant : Aérobie douce | Initier la respiration contrôlée | Cardio + respi nasale | 3 × 2’ effort / 1’ récup | Marche rapide, vélo doux | +30’’/bloc | Très faible
mcE16 – Cardio respiratoire continu intermédiaire : Respiration + cadence | Stabiliser l’effort nasal | Intervalles nasaux contrôlés | 4 × 3’ effort / 1’ récup | Footing, rameur, vélo | +1’/séquence | Faible
mcE17 – Circuit respiratoire long débutant : Rythme + souffle | Calmer le système nerveux | Circuit 2 tours | 5 exos × 20’’ / 15’’ récup | Air squat, genoux hauts, planche | +1 exo par tour | Très faible
mcE18 – Circuit respiratoire long intermédiaire : Contrôle de souffle | Augmenter la durée tolérable | Circuit progressif | 3 tours × 6 exos 30’’/15’’ | Jumping jack, squat, rameur | +1 tour ou +10’’ effort | Faible
mcE19 – Flow locomoteur prolongé débutant : Mobilité fluide | Initier les déplacements actifs | Flow locomoteur lent | 3 × 4’ continus | Crawl lent, marche lente, quadrupédie | +30’’ par bloc | Très faible
mcE20 – Flow locomoteur prolongé intermédiaire : Endurance au sol | Stabiliser les transitions longues | Flow dynamique | 3 × 6’ continus | Fente marchée, ramping, transitions lentes | +1’ par bloc | Faible
mcE21 – Zone aérobie soutenue débutant : Effort stable multi-modalité | Construire régularité | Cardio 3 modalités | 3 × 2’ / modalité | Marche rapide, rameur, vélo | +30’’ par modalité | Faible
mcE22 – Zone aérobie soutenue intermédiaire : variation aérobie contrôlée | stabiliser l’effort modéré en multi-modalité | cardio zone 2 continue | 3x3’ par modalité (course, rameur, corde), récup 1’ | course, rameur, corde à sauter | +1’/modalité ou +cadence | intensité faible
mcE23 – Endurance terrain varié débutant : allure constante sur sol simple | adapter le rythme à l’environnement extérieur | cardio zone 1 continue | 20 min de marche/course sur terrain plat | marche rapide, footing lent | +5’/semaine ou +terrain | intensité très faible
mcE24 – Endurance terrain varié intermédiaire : adaptation cardio en extérieur | tolérer variations du terrain | cardio zone 2 continue | 30 min course sur parcours vallonné | footing en forêt, montées légères | +5’ ou +dénivelé | intensité faible
mcE25 – Cardio continu zone 2 débutant : base aérobie douce | maintenir une fréquence stable | cardio zone 2 en intervalles | 3x8’ zone 2, récup 1’ | rameur, vélo, course lente | +2’/bloc ou +cadence | intensité faible
mcE26 – Cardio continu zone 2 intermédiaire : stabilité cardio prolongée | tolérer l’effort constant | cardio zone 2 continue | 2x15’ zone 2, récup 2’ | course ou vélo | +5’ ou +cadence | intensité faible
